date,region,product_category,units_sold,unit_price,revenue,discount_pct
1/1/2022,East,Electronics,132,486.59,64275.21,0.073
1/1/2022,West,Electronics,151,107.96,16305.57,0.12
1/2/2022,North,Electronics,260,352.29,91698.29,0.006
1/3/2022,East,Electronics,167,111.12,18485.12,0.232
1/4/2022,East,Electronics,147,237.7,34916.14,
1/5/2022,West,Clothing,226,71.58,16170.75,0.013
1/6/2022,North,Electronics,259,262.06,67895.51,0.196
1/7/2022,North,Clothing,235,84.35,19885.65,0.232
1/8/2022,East,Clothing,249,53.9,13419.88,0.244
1/9/2022,South,Food,162,16.35,2577.59,0.148
1/10/2022,East,Electronics,128,172.45,22115.73,0.062
1/11/2022,East,Food,275,16.96,4701.75,0.221
1/11/2022,East,Food,183,45.31,8194.64,0.21
1/12/2022,East,Electronics,187,108.86,20356.63,0.074
1/13/2022,West,Home,266,258.42,68660.21,0.271
1/14/2022,North,Home,227,155.26,35210.79,0.031
1/15/2022,West,Electronics,222,383.55,85102.96,0.295
1/16/2022,West,Electronics,308,355.83,109636.1,0.258
1/17/2022,West,Home,167,76.16,12724.56,0.206
1/18/2022,East,Food,246,47.56,11635.48,0.282
1/19/2022,South,Electronics,202,171.42,34670.84,0.217
1/20/2022,North,Electronics,213,357.91,76163.14,0.057
1/21/2022,South,Clothing,276,85.39,23584.15,0.133
1/22/2022,West,Clothing,225,136.04,30568.3,
1/22/2022,West,Food,226,9.19,2058.66,0.117
1/23/2022,South,Clothing,253,18.05,4591.86,0.222
1/24/2022,South,Clothing,181,131.32,23794.99,0.116
1/25/2022,South,Food,158,24.03,3863.59,0.099
1/26/2022,West,Electronics,147,401.94,59081.07,
1/27/2022,West,Electronics,101,325.16,32856.48,0.262
1/28/2022,North,Food,302,10.86,3257.83,0.014
1/29/2022,North,Home,144,31.08,4484.62,0.116
1/30/2022,West,Clothing,188,116.23,21873.21,0.047
1/31/2022,South,Clothing,186,138.26,25711.44,0.209
2/1/2022,South,Electronics,215,138.94,29781.91,0.032
2/1/2022,North,Clothing,240,39.41,9474.97,0.199
2/2/2022,West,Clothing,243,51.29,12481.7,0.086
2/3/2022,North,Electronics,170,391.75,66563.49,0.06
2/4/2022,North,Electronics,191,151.35,28843.63,0.281
2/5/2022,East,Clothing,214,56.37,12136.97,0.006
2/6/2022,East,Electronics,187,453.97,84916.96,0.131
2/7/2022,East,Clothing,280,94.38,26414.95,0.006
2/8/2022,South,Electronics,224,461.46,103310.19,0.145
2/9/2022,West,Clothing,236,98.08,23105.79,0.15
2/10/2022,West,Electronics,233,330.81,77143.86,0.096
2/11/2022,West,Home,258,106.81,27563.86,0.04
2/12/2022,West,Food,209,45.09,9396.28,0.113
2/12/2022,East,Food,135,30.63,4160.53,0.202
2/13/2022,South,Food,219,42.46,9258.02,0.235
2/14/2022,South,Clothing,167,53.24,8966.12,0.159
2/15/2022,East,Electronics,173,279.05,48343.29,0.177
2/16/2022,South,Clothing,229,124.6,28510.07,
2/17/2022,East,Food,261,35.34,9192.31,0.086
2/18/2022,West,Food,201,49.1,9738.19,0.049
2/19/2022,East,Clothing,215,105.3,22565.42,0.075
2/20/2022,West,Electronics,285,181.43,51640.58,0.067
2/21/2022,West,Electronics,212,170.26,36101.88,0.156
2/22/2022,North,Clothing,330,17.72,5831.29,0.169
2/22/2022,East,Food,228,9.82,2171.69,0.283
2/23/2022,North,Food,111,40.13,4440.37,0.059
2/24/2022,East,Clothing,237,76.9,18250.57,0.193
2/25/2022,East,Home,219,120.75,26470.64,0.245
2/26/2022,North,Food,264,33.38,8717.34,0.168
2/27/2022,North,Electronics,233,240.78,56095.33,0.077
2/28/2022,East,Electronics,193,425.17,81988.64,0.079
3/1/2022,South,Electronics,138,356.99,49309.71,0.012
3/2/2022,West,Electronics,189,414.42,78364.59,0.092
3/3/2022,North,Electronics,157,194.22,30447.64,0.223
3/4/2022,West,Electronics,170,370.79,62996,
3/5/2022,South,Electronics,229,190.91,43695.33,0.066
3/5/2022,South,Electronics,283,474.41,134145.39,0.212
3/6/2022,South,Home,219,55.41,12151.59,0.235
3/7/2022,North,Electronics,140,216.29,30266.96,
3/8/2022,South,Clothing,222,44.79,9991.89,0.209
3/9/2022,North,Clothing,259,33.65,8660.43,0.116
3/10/2022,South,Home,169,151.83,25628.31,0.048
3/11/2022,West,Electronics,193,171.86,33093.65,0.119
3/12/2022,West,Clothing,200,106.11,21171.79,0.174
3/13/2022,East,Home,160,36.99,5859.3,0.284
3/14/2022,West,Home,232,135.74,31541.48,0.021
3/15/2022,East,Home,193,173.05,33363.74,0.152
3/15/2022,West,Electronics,220,406.77,89495.61,0.099
3/16/2022,North,Electronics,155,399.56,61912.76,0.152
3/17/2022,West,Food,178,11.57,1995.99,0.007
3/18/2022,East,Home,236,235.95,55675.78,0.094
3/19/2022,East,Food,181,15.58,2849.94,0.246
3/20/2022,South,Food,286,34.35,9763.71,0.166
3/21/2022,North,Electronics,180,261.59,47126.66,0.135
3/22/2022,West,Food,211,31.82,6671.53,
3/23/2022,South,Electronics,246,189.02,46474.77,0.089
3/24/2022,West,Clothing,129,108.37,14006.26,0.115
3/25/2022,West,Clothing,111,145.36,16101.79,
3/26/2022,South,Clothing,123,68.13,8381.87,0.29
3/26/2022,South,Electronics,263,314.08,82587.31,0.132
3/27/2022,South,Electronics,172,96.37,16582.11,0.118
3/28/2022,South,Food,327,14.51,4625.73,0.254
3/29/2022,South,Electronics,171,215.67,36788.09,0.128
3/30/2022,West,Food,209,34.83,7310.27,0.166
3/31/2022,South,Electronics,277,453.01,125535.63,
4/1/2022,North,Clothing,300,57.15,17099.48,0.223
4/2/2022,East,Clothing,303,72.71,22018.93,0.16
4/3/2022,South,Electronics,260,498.39,129596.14,0.243
4/4/2022,South,Clothing,251,115.6,29050.26,0.234
4/5/2022,West,Electronics,229,434.85,99479.27,0.065
4/5/2022,South,Electronics,238,184.58,43885.74,0.215
4/6/2022,South,Home,172,194.02,33354.81,0.24
4/7/2022,South,Clothing,159,41.82,6684.54,0.104
4/8/2022,West,Home,199,72.3,14512.62,0.052
4/9/2022,South,Electronics,191,499.53,95398.83,0.001
4/10/2022,East,Food,177,41.72,7314.09,0.135
4/11/2022,West,Food,234,22.02,5172.79,0.106
4/12/2022,East,Food,247,8.98,2284.11,0.166
4/13/2022,West,Clothing,204,129.23,26368.32,
4/14/2022,South,Clothing,273,39.68,10787.31,0.258
4/15/2022,East,Clothing,142,144.1,20510.1,0.077
4/16/2022,West,Home,190,78.3,14910.18,0.068
4/16/2022,North,Home,164,90.14,14731.66,0.144
4/17/2022,South,Home,106,245.65,26057.97,
4/18/2022,West,Electronics,195,89.42,17486.76,0.065
4/19/2022,North,Food,193,17.67,3469.4,0.082
4/20/2022,West,Home,275,161.19,44323.93,0.051
4/21/2022,North,Electronics,231,317.8,73393.9,0.216
4/22/2022,South,Electronics,148,211.37,31344.12,0.231
4/23/2022,East,Food,292,31.13,9029.45,0.139
4/24/2022,North,Food,261,46.79,12234.12,0.214
4/25/2022,West,Home,229,229.34,52450.36,
4/26/2022,South,Electronics,188,401.03,75446.91,0.041
4/26/2022,North,Food,152,25.06,3796.22,0.29
4/27/2022,West,Electronics,181,400.17,72494.2,0.246
4/28/2022,West,Electronics,254,96.35,24497.47,0.061
4/29/2022,West,Electronics,294,431.59,126826.3,0.056
4/30/2022,North,Home,277,158.14,43876.01,0.038
5/1/2022,North,Food,175,33.68,5971.56,0.042
5/2/2022,North,Clothing,144,82.58,11935.63,0.224
5/3/2022,East,Clothing,207,102.17,21111.11,0.141
5/4/2022,North,Home,111,62.62,6935.52,0.235
5/5/2022,North,Clothing,216,31.19,6744.31,0.224
5/6/2022,North,Home,192,99.6,19088.01,0.181
5/7/2022,East,Clothing,176,123.32,21788.94,0.206
5/7/2022,North,Clothing,120,131.29,15762.02,0.006
5/8/2022,West,Clothing,225,33.54,7411.33,
5/9/2022,North,Clothing,173,143.57,24854.58,
5/10/2022,West,Food,141,44.9,6313.49,0.003
5/11/2022,West,Clothing,56,104.41,5843.21,0.01
5/12/2022,West,Electronics,198,469.84,93009.89,0.256
5/13/2022,East,Home,288,205.81,59313.63,0.205
5/14/2022,East,Clothing,283,142.68,40434.42,0.08
5/15/2022,East,Clothing,177,57.24,10145.63,0.206
5/16/2022,North,Home,169,200.89,33933.44,
5/17/2022,West,Food,223,5.75,1280.18,0.092
5/17/2022,East,Electronics,150,492.07,73811.48,0.011
5/18/2022,East,Home,215,127.26,27320.78,0.28
5/19/2022,North,Food,238,14.52,3484.71,0.104
5/20/2022,East,Clothing,261,49.06,12827.66,0.032
5/21/2022,North,Electronics,194,329.13,63928.24,0.148
5/22/2022,South,Food,189,27.77,5311.3,0.231
5/23/2022,East,Food,156,12.31,1886.08,0.066
5/24/2022,South,Clothing,158,111.86,17714.89,0.081
5/25/2022,North,Home,188,280.36,52660.13,0.073
5/26/2022,West,Food,218,43.87,9598.46,0.298
5/27/2022,East,Electronics,245,475.51,116474.12,0.059
5/28/2022,North,Clothing,159,37.72,5946.32,0.173
5/28/2022,West,Electronics,274,290.15,79515.1,0.278
5/29/2022,West,Food,186,5.39,868.81,0.044
5/30/2022,South,Electronics,198,372.8,73726.85,0.291
5/31/2022,North,Food,162,31.4,5077.93,0.284
6/1/2022,West,Food,78,25.49,1992.34,0.265
6/2/2022,East,Home,244,165.66,40402.57,0.064
6/3/2022,East,Clothing,236,77.22,18144.95,0.19
6/4/2022,South,Home,185,237.98,43985.41,0.228
6/5/2022,West,Electronics,203,155.33,31551.55,0.296
6/6/2022,North,Home,225,188.27,42389.84,0.054
6/7/2022,East,Electronics,121,271.17,32810.76,0.23
6/7/2022,West,Clothing,173,128.25,22245.09,0.102
6/8/2022,West,Food,239,41.59,9959.88,0.053
6/9/2022,South,Electronics,137,151.29,20689.36,0.126
6/10/2022,East,Electronics,214,88.04,18826.53,0.238
6/11/2022,East,Food,132,15.65,1995.66,0.139
6/12/2022,North,Food,223,33.26,7411.57,0.161
6/13/2022,East,Food,198,42.35,8440.91,0.299
6/14/2022,North,Food,119,23.7,2854.56,0.12
6/15/2022,East,Clothing,258,134.66,34812.38,0.185
6/16/2022,South,Electronics,163,483.59,78810.03,0.11
6/17/2022,East,Clothing,159,144.79,23088.91,0.118
6/18/2022,North,Electronics,210,285.17,59876.03,0.209
6/18/2022,North,Home,257,226.72,58340.62,0.281
6/19/2022,South,Food,149,14.19,2113.22,0.163
6/20/2022,East,Clothing,203,48.59,9899.13,0.231
6/21/2022,East,Clothing,221,142.18,31495.54,
6/22/2022,South,Home,234,155.57,36393.71,
6/23/2022,East,Electronics,208,324.94,67598.44,0.151
6/24/2022,East,Food,181,26.86,4926.1,0.006
6/25/2022,North,Clothing,158,33.8,5333.75,0.076
6/26/2022,East,Food,204,46.25,9368.96,0.155
6/27/2022,East,Electronics,146,93.33,13733.33,0.004
6/28/2022,South,Home,53,44.02,2309.57,0.079
6/28/2022,South,Home,221,45.46,10054.6,0.154
6/29/2022,West,Food,245,31.38,7745.9,0.172
6/30/2022,North,Food,81,27.16,2169.54,0.278
7/1/2022,East,Home,149,55.59,8232.52,0.194
7/2/2022,East,Food,230,25.88,5965.09,0.124
7/3/2022,West,Electronics,302,168.72,50863.79,0.279
7/4/2022,East,Food,201,46.17,9265.77,0.235
7/5/2022,North,Food,163,20.09,3286.92,0.06
7/6/2022,West,Clothing,190,33.68,6385.7,0.039
7/7/2022,North,Food,268,28.99,7692.15,0.203
7/8/2022,West,Home,167,22.57,3848.9,
7/9/2022,West,Home,160,76.39,12227.58,0.237
7/9/2022,South,Clothing,175,104.52,18362.56,0.222
7/10/2022,North,Electronics,152,92.61,14063.72,0.188
7/11/2022,East,Home,206,93.27,19169.62,0.296
7/12/2022,East,Home,281,38.76,10905.02,0.16
7/13/2022,North,Electronics,216,488.82,105574.33,0.034
7/14/2022,East,Home,187,88.53,16496.22,0.248
7/15/2022,East,Home,185,266.82,49435.19,0.076
7/16/2022,North,Clothing,121,102.58,12381.07,0.233
7/17/2022,West,Food,244,23.28,5588.31,0.287
7/18/2022,North,Clothing,196,76.83,15125.09,0.209
7/19/2022,West,Electronics,190,489.64,93006.39,0.179
7/20/2022,East,Clothing,359,116.54,41807.47,0.138
7/20/2022,East,Home,214,164.79,35176.79,0.109
7/21/2022,East,Electronics,162,473.95,76866.95,0.106
7/22/2022,South,Clothing,178,95.47,16929.19,0.191
7/23/2022,West,Clothing,257,149.42,38403.86,
7/24/2022,South,Clothing,205,73.76,15166.43,0.204
7/25/2022,South,Home,128,180.13,23077.73,0.06
7/26/2022,North,Clothing,245,61.58,15084.12,0.148
7/27/2022,South,Clothing,166,22.39,3631.66,0.237
7/28/2022,North,Food,293,12.87,3730.42,0.143
7/29/2022,North,Clothing,254,71.52,18175.47,0.161
7/30/2022,South,Electronics,177,150.35,26572.59,0.231
7/30/2022,West,Clothing,264,15.03,3978.09,
7/31/2022,West,Electronics,203,488.69,99238.16,0.123
8/1/2022,West,Electronics,242,398.9,96581.93,
8/2/2022,West,Clothing,224,115.21,25745.73,0.049
8/3/2022,West,Clothing,157,37.65,6020.88,0.299
8/4/2022,South,Home,167,99.15,16596.42,0.036
8/5/2022,South,Clothing,251,24.13,6056.54,0.004
8/6/2022,East,Food,183,16.17,3013.59,0.267
8/7/2022,West,Food,179,49.46,8971.61,0.073
8/8/2022,South,Electronics,152,177.65,26930.86,0.219
8/9/2022,East,Food,221,37.97,8380.11,0.243
8/10/2022,West,Electronics,303,187.71,56757.21,0.258
8/10/2022,North,Home,146,195.35,28530.73,0.297
8/11/2022,East,Electronics,201,363.08,72997.35,0.088
8/12/2022,South,Clothing,270,98.88,26695.64,0.213
8/13/2022,North,Electronics,196,168.41,32975.63,0.035
8/14/2022,North,Home,222,57.12,12578.16,0.122
8/15/2022,North,Clothing,146,19.8,2909.48,
8/16/2022,East,Food,221,44.57,9922.74,0.11
8/17/2022,South,Electronics,190,443.16,84170.85,0.177
8/18/2022,North,Food,249,20.37,5094.13,0.151
8/19/2022,West,Electronics,259,114.75,29641.84,
8/20/2022,North,Home,329,81.34,26783.72,0.292
8/20/2022,North,Electronics,228,207.02,47180.89,0.017
8/21/2022,East,Electronics,216,316.63,68353.96,0.172
8/22/2022,East,Electronics,209,417.6,87240.38,0.259
8/23/2022,South,Clothing,182,74.96,13623.04,0.144
8/24/2022,West,Food,216,40.55,8777.92,0.024
8/25/2022,East,Electronics,185,292.31,54011.74,0.168
8/26/2022,North,Food,208,7.02,1440.3,0.1
8/27/2022,South,Clothing,265,131.91,34954.08,0.046
8/28/2022,North,Clothing,149,16.34,2379.71,0.255
8/29/2022,North,Clothing,256,120.04,30820.07,0.156
8/30/2022,East,Clothing,265,77.2,20415.33,0.28
8/31/2022,South,Food,194,41.49,8015.59,0.242
8/31/2022,West,Electronics,93,208.71,19361.11,
9/1/2022,West,Electronics,169,425.4,71982.52,0.002
9/2/2022,East,Home,264,196.18,51819.17,
9/3/2022,East,Home,198,215.81,42683.55,0.059
9/4/2022,South,Clothing,150,87.68,13207.31,0.273
9/5/2022,West,Electronics,174,384.5,66913.03,0.052
9/6/2022,West,Food,242,45.85,11108.56,0.086
9/7/2022,West,Clothing,227,28.14,6370.56,0.155
9/8/2022,North,Electronics,188,406.36,76358.21,0.079
9/9/2022,West,Electronics,181,442.13,80042.42,
9/10/2022,North,Food,180,40.61,7282.55,0.18
9/10/2022,South,Food,153,14.04,2238.96,0.027
9/11/2022,North,Electronics,280,432.85,121134.54,0.017
9/12/2022,South,Electronics,183,495.57,90766.12,0.112
9/13/2022,West,Electronics,260,453.6,117930.43,0.216
9/14/2022,West,Food,276,47.85,13221.55,0.166
9/15/2022,South,Electronics,249,161.97,40372.19,0.127
9/16/2022,East,Electronics,178,285.54,50794.61,0.17
9/17/2022,South,Food,220,29.19,6465.01,0.11
9/18/2022,East,Electronics,198,286.88,56666.86,0.281
9/19/2022,North,Food,154,34.03,5204.62,0.016
9/20/2022,North,Electronics,216,432.06,93278.76,0.202
9/21/2022,North,Electronics,141,231.79,32619.71,0.267
9/21/2022,West,Electronics,259,441.11,114236.74,0.241
9/22/2022,North,Food,176,11.44,2032.73,0.055
9/23/2022,East,Home,210,278.22,58461.33,0.089
9/24/2022,North,Home,214,185.92,39798.92,0.215
9/25/2022,South,Clothing,187,137.22,25626.86,0.025
9/26/2022,South,Food,229,34.97,8026.58,
9/27/2022,West,Electronics,176,162.5,28606.21,0.216
9/28/2022,South,Electronics,243,479.61,116592.03,0.219
9/29/2022,East,Home,132,156.19,20655.93,0.03
9/30/2022,North,Electronics,206,318.45,65602.22,0.215
10/1/2022,West,Electronics,296,323.31,95654.9,0.204
10/1/2022,North,Electronics,149,285.64,42527.71,0.249
10/2/2022,North,Electronics,166,350.79,58203.65,0.012
10/3/2022,East,Electronics,225,176.53,39703.49,0.007
10/4/2022,South,Food,208,39.43,8214.84,0.112
10/5/2022,South,Clothing,217,31.54,6879.94,0.045
10/6/2022,North,Home,224,285.25,63893.44,0.168
10/7/2022,West,Home,231,123.32,28487.73,0.275
10/8/2022,South,Clothing,255,24.52,6259.77,0.117
10/9/2022,West,Electronics,220,157.81,34692.4,0.253
10/10/2022,South,Clothing,187,40.67,7559.02,0
10/11/2022,West,Food,233,12.07,2724.54,0.051
10/12/2022,East,Electronics,294,156.79,46061.5,0.009
10/12/2022,West,Food,193,28.33,5491.35,0.098
10/13/2022,East,Clothing,151,143.99,21707.34,0.272
10/14/2022,East,Food,255,33.21,8456.66,
10/15/2022,West,Clothing,193,131.05,25315.97,0.182
10/16/2022,East,Electronics,91,319.93,29139.66,0.135
10/17/2022,North,Home,242,67.82,16358.46,0.282
10/18/2022,East,Food,173,49.05,8535.5,0.037
10/19/2022,South,Electronics,195,415.05,80991.12,0.064
10/20/2022,West,Home,216,61.29,13182.15,0.009
10/21/2022,North,Clothing,209,141.2,29469.61,0.13
10/22/2022,West,Home,235,178.41,41985.9,0.083
10/22/2022,South,Food,178,29.61,5263.24,0.261
10/23/2022,South,Clothing,225,134.91,30243.76,0.181
10/24/2022,South,Electronics,187,153.55,28643.87,0.184
10/25/2022,East,Electronics,236,362.56,85551.69,
10/26/2022,East,Clothing,230,54.01,12364.15,0.028
10/27/2022,West,Food,153,43.53,6639.42,0.134
10/28/2022,West,Electronics,254,447.11,113567.56,0.3
10/29/2022,North,Electronics,173,184.86,32053.89,0.251
10/30/2022,North,Home,240,292.17,70106.28,0.268
10/31/2022,West,Home,218,260.61,56866.61,0.247
11/1/2022,East,Clothing,291,37.62,11018.86,0.031
11/2/2022,South,Electronics,188,412.89,77695.04,0.068
11/2/2022,West,Electronics,182,343.48,62527.6,0.001
11/3/2022,North,Electronics,199,395.11,78528.73,0.091
11/4/2022,East,Home,184,143.87,26495.12,0.033
11/5/2022,West,Electronics,239,272.5,65179.92,0.142
11/6/2022,West,Food,119,15.52,1842.83,0.203
11/7/2022,East,Electronics,147,119.39,17637.56,0.262
11/8/2022,West,Food,146,15.61,2322.05,0.225
11/9/2022,East,Food,247,37.11,9194.58,0.282
11/10/2022,South,Home,285,263.26,75083.42,0.016
11/11/2022,East,Electronics,194,202.41,39284.21,0.004
11/12/2022,East,Electronics,191,167.17,31804.83,0.198
11/12/2022,East,Electronics,203,180.02,36519.1,
11/13/2022,West,Home,258,273.56,70638.34,0.076
11/14/2022,West,Home,153,53.53,8149.71,0.099
11/15/2022,East,Food,211,12.24,2571.47,0.081
11/16/2022,West,Food,248,36.52,9004.72,0.153
11/17/2022,North,Food,225,39.15,8897.95,0.132
11/18/2022,North,Electronics,209,284.65,59575.92,
11/19/2022,West,Home,250,261.58,65350.81,0.202
11/20/2022,West,Clothing,64,118.07,7563.84,0.116
11/21/2022,East,Clothing,233,29.67,6879.09,0.075
11/22/2022,South,Clothing,167,147.47,24658.24,0.05
11/23/2022,West,Electronics,108,247.1,26712.28,0.105
11/23/2022,North,Electronics,225,427.57,96243.84,0.223
11/24/2022,East,Food,268,22.74,6110.92,0.227
11/25/2022,West,Electronics,193,92.79,18055.24,0.2
11/26/2022,North,Food,247,27.18,6662.06,0.07
11/27/2022,North,Electronics,280,222.97,62346.07,0.176
11/28/2022,South,Clothing,265,141.64,37514.95,0.171
11/29/2022,East,Electronics,281,338.35,94997.95,0.145
11/30/2022,East,Clothing,237,134.81,31875.35,0.165
12/1/2022,South,Food,203,23.16,4651.41,0.148
12/2/2022,South,Electronics,119,290.54,34528.15,0.17
12/3/2022,East,Food,187,27.14,5027.45,
12/3/2022,East,Clothing,157,60.2,9477.31,0.033
12/4/2022,West,Food,308,15.73,4819.53,0.225
12/5/2022,West,Home,191,42.19,8049.31,0.041
12/6/2022,South,Food,206,26.89,5584.05,0.02
12/7/2022,West,Electronics,227,147.49,33441.91,0.293
12/8/2022,North,Electronics,202,90.49,18265.75,0.287
12/9/2022,West,Electronics,284,268.6,76300.69,0.018
12/10/2022,West,Food,168,47.72,7919.88,0.133
12/11/2022,North,Electronics,209,100.84,20956.31,0.056
12/12/2022,South,Clothing,162,41.55,6748.41,0.146
12/13/2022,North,Food,133,25.73,3446.69,0.249
12/14/2022,West,Clothing,169,55.49,9481.02,0.285
12/14/2022,South,Food,198,6.58,1310.74,
12/15/2022,West,Electronics,178,152.87,27251.85,0.106
12/16/2022,North,Electronics,165,239.5,39507.73,0.181
12/17/2022,North,Food,129,29.83,3862.93,0.094
12/18/2022,West,Clothing,195,126.24,24700.16,0.273
12/19/2022,East,Food,124,25.13,3009.92,0.261
12/20/2022,East,Clothing,238,78.32,18660.84,0.167
12/21/2022,North,Electronics,204,404.56,82637.02,0.097
12/22/2022,North,Home,127,194.31,24691.47,0.088
12/23/2022,East,Food,184,15.96,3019.17,0.01
12/24/2022,East,Food,162,25.6,4115.74,0.245
12/24/2022,West,Electronics,215,470.24,101100,0.135
12/25/2022,West,Food,267,14.27,3811.77,0.098
12/26/2022,East,Clothing,106,18.42,1841.64,0.141
12/27/2022,West,Electronics,205,88.05,17991.84,0.246
12/28/2022,West,Home,191,222.26,42396.82,0.037
12/29/2022,South,Electronics,233,300.39,70031.97,0.257
12/30/2022,West,Home,210,49.72,10484.81,0.269
12/31/2022,North,Clothing,162,47.51,7712.82,0.284
1/1/2023,West,Electronics,184,224.94,41430.17,0.119
1/2/2023,West,Clothing,160,25.88,4132.59,0.065
1/3/2023,East,Home,253,64.39,16350.77,0.112
1/4/2023,North,Food,201,43.36,8715.8,0.1
1/4/2023,West,Home,295,121.95,35978.14,0.053
1/5/2023,West,Food,196,44.35,8679.32,0.182
1/6/2023,South,Food,164,20.86,3455.26,0.143
1/7/2023,West,Home,124,140.49,17399.7,0.26
1/8/2023,West,Electronics,109,213.37,23306.15,0.01
1/9/2023,South,Clothing,120,56.54,6728.19,0.193
1/10/2023,East,Electronics,213,477.81,101718.58,
1/11/2023,West,Home,225,275.84,62098.37,0.228
1/12/2023,South,Home,120,253.24,30384.37,0.266
1/13/2023,North,Electronics,244,196.54,47933.07,0.219
1/14/2023,East,Food,175,13.82,2463,0.278
1/15/2023,North,Home,207,28.74,5918.82,
1/15/2023,North,Electronics,280,84.32,23599.59,0.151
1/16/2023,South,Food,244,21.93,5420.88,0.004
1/17/2023,West,Home,186,104.92,19592.08,0.002
1/18/2023,South,Electronics,155,341.53,53015.77,0.072
1/19/2023,South,Food,92,17.14,1562.77,0.03
1/20/2023,South,Electronics,164,210.99,34663.9,0.078
1/21/2023,South,Home,189,31,5811.55,
1/22/2023,East,Home,150,203.37,30460.15,0.009
1/23/2023,West,Home,193,143.97,27668.69,0.273
1/24/2023,North,Clothing,203,60.74,12413.86,0.002
1/25/2023,North,Home,188,88.88,16666.24,0.221
1/25/2023,West,Home,167,168.98,28213.33,0.046
1/26/2023,North,Clothing,208,95.65,19849.68,0.274
1/27/2023,West,Home,222,216.8,48164.36,0.268
1/28/2023,North,Electronics,145,236.45,34266.47,0.196
1/29/2023,South,Food,270,40.4,10842.76,0.202
1/30/2023,North,Electronics,195,105.96,20684.28,0.002
1/31/2023,West,Electronics,200,118.79,23686.31,0.295
2/1/2023,West,Electronics,235,148.37,34825.08,0.263
2/2/2023,West,Food,211,17.81,3652.57,0.269
2/3/2023,West,Clothing,247,72.21,17764.67,0.198
2/4/2023,West,Food,214,39.03,8361.35,0.103
2/5/2023,East,Electronics,169,267.62,45129.55,0.268
2/5/2023,East,Clothing,218,75.06,16289.02,0.087
